VIN10112|2020|Volkswagen|Beetle|Compact|Pink|25123|12995.00
VIN37846|2019|Mini|Cooper|Compact|Baby Blue|32544|18995.00
VIN44901|2021|Fiat|500|Compact|White|13221|16995.00
VIN55223|2018|Toyota|Prius|Hybrid|Teal|68000|15000.00
VIN66334|2022|Mazda|MX-5 Miata|Convertible|Red|12345|25000.00
VIN77445|2019|Volkswagen|Jetta|Sedan|Purple|38765|14500.00
VIN88556|2020|Honda|Fit|Hatchback|Yellow|24466|13500.00
VIN99667|2021|Kia|Soul|Compact|Lime Green|15678|17500.00
VIN11778|2018|Hyundai|Tucson|SUV|Silver|47007|15000.00
VIN22889|2022|Jeep|Compass|SUV|White|14321|22000.00
VIN33990|2020|Ford|Escape|SUV|Light Blue|26810|19500.00
VIN44001|2019|Nissan|Rogue|SUV|Champagne|43456|18500.00
VIN55112|2021|Kia|Sportage|SUV|Black|13579|21000.00
VIN66223|2018|Hyundai|Elantra|Sedan|Rose Gold|48765|12000.00
VIN77334|2022|Toyota|RAV4|SUV|Seafoam Green|14680|27000.00
VIN88445|2019|Honda|HR-V|Crossover|Metallic Blue|36789|19500.00
VIN99556|2020|Nissan|Kicks|Crossover|Orange|22345|17000.00
VIN10667|2021|Chevrolet|Trax|Crossover|Dark Gray|17654|20000.00
VIN21778|2018|Mazda|CX-3|Crossover|Deep Red|53210|15000.00
VIN32889|2022|Honda|Civic|Sedan|Pink Pearl|17890|23000.00
VIN43990|2020|Toyota|Corolla|Sedan|Lavender|24680|19000.00
VIN54001|2019|Volkswagen|Tiguan|SUV|Sage Green|33579|21500.00
VIN65112|2021|Subaru|Crosstrek|Crossover|Teal|18765|24000.00
VIN76223|2018|Kia|Forte|Sedan|Baby Pink|56789|13000.00
VIN87334|2022|Mini|Countryman|Crossover|White|14680|29000.00
VIN98445|2020|Fiat|500X|Crossover|Powder Blue|22345|20000.00
VIN10556|2019|Hyundai|Kona|Crossover|Coral|37890|17500.00
VIN21667|2021|BMW|X1|SUV|Silver|13210|32000.00
VIN32778|2018|Mercedes-Benz|GLA|SUV|White|54321|28000.00
VIN43889|2022|Audi|Q3|SUV|Black|17654|35000.00
VIN54990|2020|Buick|Encore|Crossover|Champagne|23579|22500.00
VIN65001|2019|Lexus|UX|Crossover|Pearl White|38765|29000.00
VIN76112|2021|Volvo|XC40|SUV|Ice Blue|14680|36000.00
VIN87223|2018|Acura|RDX|SUV|Ruby Red|56789|25000.00
VIN98334|2022|Infiniti|QX30|Crossover|Graphite|12345|33000.00
VIN10445|2020|Smart|Fortwo|Compact|Yellow|27890|15000.00
VIN21556|2019|Mitsubishi|Eclipse Cross|Crossover|Burgundy|43210|19500.00
VIN32667|2021|Suzuki|Swift|Hatchback|Mint Green|14321|16000.00
VIN43778|2018|Ford|EcoSport|Crossover|Aqua|57654|14500.00
VIN54889|2022|Toyota|C-HR|Crossover|White|13579|24000.00
VIN65990|2020|Honda|CR-V|SUV|Metallic Gray|28765|25500.00
VIN76001|2019|Mazda|CX-5|SUV|Deep Blue|44680|21000.00
VIN87112|2021|Hyundai|Venue|Crossover|Denim Blue|16789|19000.00
VIN98223|2018|Volkswagen|Golf|Hatchback|Red|62345|14000.00
VIN10334|2022|Kia|Seltos|Crossover|Starbright Yellow|12890|22500.00
VIN21445|2020|Chevrolet|Spark|Compact|Hot Pink|33210|13500.00
VIN32556|2019|Nissan|Versa|Compact|Teal|47321|12000.00
VIN43667|2021|Subaru|Impreza|Sedan|Pearl White|17654|22000.00
VIN54778|2018|Fiat|124 Spider|Convertible|Burgundy|58579|19500.00
VIN65889|2022|Volkswagen|T-Roc|Crossover|Lilac|12765|26500.00
